asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
btc,btc:h1:1775851200,"Bitcoin Up or Down - April 10, 4PM ET",h1,2026-04-10T21:00:00+00:00,-2927.71,13624.45,-3.3357545805207334,26.945,2,2924.3742454194794
btc,btc:m5:1775855400,"Bitcoin Up or Down - April 10, 5:10PM-5:15PM ET",m5,2026-04-10T21:15:00+00:00,174.99,1086.3,-8.304999999999996,47.355000000000004,2,-183.29500000000002
btc,btc:m15:1775854800,"Bitcoin Up or Down - April 10, 5:00PM-5:15PM ET",m15,2026-04-10T21:15:00+00:00,-9.6,499.05,0.0,0.0,0,9.6
btc,btc:m5:1775855700,"Bitcoin Up or Down - April 10, 5:15PM-5:20PM ET",m5,2026-04-10T21:20:00+00:00,-89.38,1431.03,1.4715306122449014,47.355000000000004,2,90.8515306122449
btc,btc:m5:1775856000,"Bitcoin Up or Down - April 10, 5:20PM-5:25PM ET",m5,2026-04-10T21:25:00+00:00,-97.12,1426.67,21.002142857142864,47.355000000000004,2,118.12214285714288
btc,btc:m5:1775856300,"Bitcoin Up or Down - April 10, 5:25PM-5:30PM ET",m5,2026-04-10T21:30:00+00:00,-36.77,369.59,-23.925,23.925,1,12.845000000000002
btc,btc:m15:1775855700,"Bitcoin Up or Down - April 10, 5:15PM-5:30PM ET",m15,2026-04-10T21:30:00+00:00,-31.13,1009.08,0.0,0.0,0,31.13
btc,btc:m5:1775856600,"Bitcoin Up or Down - April 10, 5:30PM-5:35PM ET",m5,2026-04-10T21:35:00+00:00,-105.22,1583.24,-23.925,23.925,1,81.295
btc,btc:m5:1775856900,"Bitcoin Up or Down - April 10, 5:35PM-5:40PM ET",m5,2026-04-10T21:40:00+00:00,162.84,1616.66,0.0,0.0,0,-162.84
btc,btc:m5:1775857200,"Bitcoin Up or Down - April 10, 5:40PM-5:45PM ET",m5,2026-04-10T21:45:00+00:00,-285.19,3645.05,19.103333333333346,47.355000000000004,2,304.29333333333335
btc,btc:m15:1775856600,"Bitcoin Up or Down - April 10, 5:30PM-5:45PM ET",m15,2026-04-10T21:45:00+00:00,150.84,4005.82,9.540740740740738,11.2,1,-141.29925925925926
btc,btc:m5:1775857500,"Bitcoin Up or Down - April 10, 5:45PM-5:50PM ET",m5,2026-04-10T21:50:00+00:00,-157.42,935.63,0.0,0.0,0,157.42
btc,btc:m5:1775857800,"Bitcoin Up or Down - April 10, 5:50PM-5:55PM ET",m5,2026-04-10T21:55:00+00:00,47.17,1518.86,0.0,0.0,0,-47.17
btc,btc:h1:1775854800,"Bitcoin Up or Down - April 10, 5PM ET",h1,2026-04-10T22:00:00+00:00,654.49,3493.34,-3.1718309859154914,14.075,1,-657.6618309859155
btc,btc:m15:1775857500,"Bitcoin Up or Down - April 10, 5:45PM-6:00PM ET",m15,2026-04-10T22:00:00+00:00,67.38,499.12,7.670588235294115,16.299999999999997,1,-59.70941176470588
btc,btc:m5:1775858100,"Bitcoin Up or Down - April 10, 5:55PM-6:00PM ET",m5,2026-04-10T22:00:00+00:00,-11.83,1289.25,19.575,23.925,1,31.405
btc,btc:m5:1775858400,"Bitcoin Up or Down - April 10, 6:00PM-6:05PM ET",m5,2026-04-10T22:05:00+00:00,-145.51,2629.82,15.605526315789469,47.355000000000004,2,161.11552631578945
btc,btc:m5:1775858700,"Bitcoin Up or Down - April 10, 6:05PM-6:10PM ET",m5,2026-04-10T22:10:00+00:00,19.4,604.57,1.4574999999999996,47.355000000000004,2,-17.9425
btc,btc:m5:1775859000,"Bitcoin Up or Down - April 10, 6:10PM-6:15PM ET",m5,2026-04-10T22:15:00+00:00,-5.94,842.84,11.783955223880593,23.925,1,17.723955223880594
btc,btc:m15:1775858400,"Bitcoin Up or Down - April 10, 6:00PM-6:15PM ET",m15,2026-04-10T22:15:00+00:00,382.74,2751.86,7.160655737704918,11.2,1,-375.5793442622951
btc,btc:m5:1775859300,"Bitcoin Up or Down - April 10, 6:15PM-6:20PM ET",m5,2026-04-10T22:20:00+00:00,-43.86,2648.93,-7.6431355932203395,47.355000000000004,2,36.21686440677966
btc,btc:m5:1775859600,"Bitcoin Up or Down - April 10, 6:20PM-6:25PM ET",m5,2026-04-10T22:25:00+00:00,200.83,2255.31,-23.925,23.925,1,-224.75500000000002
btc,btc:m15:1775859300,"Bitcoin Up or Down - April 10, 6:15PM-6:30PM ET",m15,2026-04-10T22:30:00+00:00,168.85,2290.37,9.16363636363636,11.2,1,-159.68636363636364
btc,btc:m5:1775859900,"Bitcoin Up or Down - April 10, 6:25PM-6:30PM ET",m5,2026-04-10T22:30:00+00:00,-253.21,2140.59,0.0,0.0,0,253.21
