tf,side,folder,fill_price,ask_at_fill,ask_1s,ask_2s,delta_fill_vs_ask,ask_drop_2s,spot
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.55,0.05,0.05,0.05,0.5,0.0,71162.02
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.02,0.02,0.02,-0.01,0.0,71162.02
m5,Down,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.6241,0.08,0.05,0.05,0.5441,-0.03,71148.19
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.35,0.9,0.89,0.93,-0.55,0.030000000000000027,71143.06
m5,Up,Bitcoin_Up_or_Down_-_April_13_810AM-815AM_ET,0.35,0.9,0.89,0.93,-0.55,0.030000000000000027,71143.06
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.03,-0.03,-0.010000000000000002,71143.06
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.04,-0.03,0.0,71143.05
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.98,0.97,0.97,0.97,0.010000000000000009,0.0,71143.05
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.04,-0.03,0.0,71143.05
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.98,0.97,0.97,0.97,0.010000000000000009,0.0,71143.05
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.04,-0.03,0.0,71143.05
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.04,-0.03,0.0,71143.05
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.04,-0.03,0.0,71143.05
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.01,0.04,0.04,0.04,-0.03,0.0,71143.05
