tf,side,folder,fill_price,ask_at_fill,ask_1s,ask_2s,delta_fill_vs_ask,ask_drop_2s,spot
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.55,0.32,0.32,0.31,0.23000000000000004,-0.010000000000000009,71099.79
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.55,0.32,0.32,0.31,0.23000000000000004,-0.010000000000000009,71099.79
m5,Down,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.26,1.0,1.0,1.0,-0.74,0.0,71106.1
m5,Down,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.34,1.0,1.0,1.0,-0.6599999999999999,0.0,71082.9
m5,Down,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.25,1.0,1.0,1.0,-0.75,0.0,71082.9
m15,Down,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.41,0.74,0.72,0.69,-0.33,-0.050000000000000044,71082.9
m5,Up,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.62,0.01,0.01,0.01,0.61,0.0,71075.8
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.56,0.33,0.31,0.29,0.23000000000000004,-0.040000000000000036,71106.08
m5,Up,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.722,0.01,0.01,0.01,0.712,0.0,71106.08
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.57,0.33,0.33,0.33,0.23999999999999994,0.0,71106.08
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.57,0.33,0.33,0.33,0.23999999999999994,0.0,71106.09
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.57,0.33,0.33,0.33,0.23999999999999994,0.0,71106.09
m5,Up,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.8651000000000001,0.01,0.01,0.01,0.8551000000000001,0.0,71107.65
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.65,0.36,0.36,0.35,0.29000000000000004,-0.010000000000000009,71113.06
m5,Down,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.03,1.0,0.99,1.0,-0.97,0.0,71125.35
m5,Down,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.04,0.99,1.0,0.99,-0.95,0.0,71125.35
m5,Down,Bitcoin_Up_or_Down_-_April_13_830AM-835AM_ET,0.06,1.0,1.0,0.99,-0.94,-0.010000000000000009,71125.36
h1,Down,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.75,0.51,0.51,0.52,0.24,0.010000000000000009,71096.38
m5,Down,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.7,0.51,0.55,0.55,0.18999999999999995,0.040000000000000036,71096.38
m15,Up,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.35,0.26,0.26,0.26,0.08999999999999997,0.0,71086.54
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.24,0.51,0.51,0.51,-0.27,0.0,71091.68
m5,Up,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.28,0.44,0.44,0.43,-0.15999999999999998,-0.010000000000000009,71084.18
m15,Down,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.62,0.79,0.78,0.76,-0.17000000000000004,-0.030000000000000027,71081.84
m15,Down,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.62,0.84,0.8,0.8,-0.21999999999999997,-0.039999999999999925,71051.91
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.21,0.44,0.45,0.45,-0.23,0.010000000000000009,71059.96
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.21,0.44,0.45,0.45,-0.23,0.010000000000000009,71059.96
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.21,0.44,0.45,0.45,-0.23,0.010000000000000009,71059.96
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.21,0.44,0.45,0.45,-0.23,0.010000000000000009,71059.96
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.18,0.32,0.31,0.3,-0.14,-0.020000000000000018,70987.3
m5,Down,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.79,0.92,0.91,0.91,-0.13,-0.010000000000000009,71007.44
m5,Up,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.21,0.16,0.15,0.15,0.04999999999999999,-0.010000000000000009,71034.26
m5,Down,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.94,0.97,0.97,0.97,-0.030000000000000027,0.0,70989.77
m5,Down,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.95,0.97,0.97,0.97,-0.020000000000000018,0.0,70988.0
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.1,0.31,0.3,0.31,-0.21,0.0,70979.71
m15,Down,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.84,0.96,0.96,0.95,-0.12,-0.010000000000000009,70979.71
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.1,0.31,0.3,0.31,-0.21,0.0,70979.71
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.1,0.31,0.3,0.31,-0.21,0.0,70979.71
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.1,0.31,0.3,0.31,-0.21,0.0,70979.71
m5,Down,Bitcoin_Up_or_Down_-_April_13_835AM-840AM_ET,0.97,1.0,1.0,1.0,-0.030000000000000027,0.0,70927.66
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.08,0.12,0.12,0.11,-0.039999999999999994,-0.009999999999999995,70840.47
m15,Down,Bitcoin_Up_or_Down_-_April_13_830AM-845AM_ET,0.87,1.0,1.0,1.0,-0.13,0.0,70859.78
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.08,0.16,0.16,0.15,-0.08,-0.010000000000000009,70867.14
