asset,market_key,market_title,tf_slug,side,signal_ts,signed_open_pct,signed_move_30s_pct,ask_c,rule_key,entry_j,entry_ts,entry_price,size_usd,shares,exit_j,exit_ts,exit_price,exit_reason,won_up,won_side,pnl,return_pct
btc,btc:m15:1775572200,"Bitcoin Up or Down - April 7, 10:30AM-10:45AM ET",m15,UP,2026-04-07T14:33:53.200000+00:00,0.0911648588742228,0.1799819988654699,65.0,btc|m15|Up,1000,2026-04-07 14:33:53.200,0.65,16.299999999999997,25.076923076923073,,2026-04-07 14:44:59.931,,settlement,False,False,-16.299999999999997,-100.0
btc,btc:m15:1775572200,"Bitcoin Up or Down - April 7, 10:30AM-10:45AM ET",m15,DOWN,2026-04-07T14:33:36.421000+00:00,0.1045175100210853,-0.0518405675845197,65.0,btc|m15|Down,883,2026-04-07 14:33:36.421,0.65,11.2,17.23076923076923,,2026-04-07 14:44:59.931,,settlement,False,True,6.030769230769231,53.84615384615385
btc,btc:m15:1775573100,"Bitcoin Up or Down - April 7, 10:45AM-11:00AM ET",m15,UP,2026-04-07T14:48:49.853000+00:00,0.1021329387036147,-0.0454855549906941,68.0,btc|m15|Up,1143,2026-04-07 14:48:49.853,0.68,16.299999999999997,23.970588235294112,,2026-04-07 14:59:59.626,,settlement,False,False,-16.299999999999997,-100.0
btc,btc:m15:1775573100,"Bitcoin Up or Down - April 7, 10:45AM-11:00AM ET",m15,DOWN,2026-04-07T14:55:58.164000+00:00,0.0452502595235532,0.0458237922246958,65.0,btc|m15|Down,2605,2026-04-07 14:55:58.164,0.65,11.2,17.23076923076923,,2026-04-07 14:59:59.626,,settlement,False,True,6.030769230769231,53.84615384615385
btc,btc:m15:1775574000,"Bitcoin Up or Down - April 7, 11:00AM-11:15AM ET",m15,UP,2026-04-07T15:03:51.431000+00:00,0.0428821016297052,0.0464629781575356,56.99999999999999,btc|m15|Up,1421,2026-04-07 15:03:51.431,0.57,16.299999999999997,28.596491228070175,,2026-04-07 15:14:59.977,,settlement,True,True,12.296491228070177,75.4385964912281
btc,btc:m15:1775574000,"Bitcoin Up or Down - April 7, 11:00AM-11:15AM ET",m15,DOWN,2026-04-07T15:05:15.161000+00:00,0.0883430238041303,0.1188762590538679,65.0,btc|m15|Down,1918,2026-04-07 15:05:15.161,0.65,11.2,17.23076923076923,,2026-04-07 15:14:59.977,,settlement,True,False,-11.2,-100.0
btc,btc:m15:1775806200,"Bitcoin Up or Down - April 10, 3:30AM-3:45AM ET",m15,UP,2026-04-10T07:33:31.554000+00:00,0.0445755203010348,0.0343971875453992,71.0,btc|m15|Up,824,2026-04-10 07:33:31.554,0.71,16.299999999999997,22.957746478873236,,2026-04-10 07:44:57.397,,settlement,False,False,-16.299999999999997,-100.0
btc,btc:m15:1775807100,"Bitcoin Up or Down - April 10, 3:45AM-4:00AM ET",m15,DOWN,2026-04-10T07:50:45.969000+00:00,0.0602002852605998,0.0376216896297213,49.0,btc|m15|Down,1258,2026-04-10 07:50:45.969,0.49,11.2,22.857142857142858,,2026-04-10 07:59:59.534,,settlement,False,True,11.657142857142858,104.08163265306125
btc,btc:m15:1775808000,"Bitcoin Up or Down - April 10, 4:00AM-4:15AM ET",m15,UP,2026-04-10T08:06:05.517000+00:00,0.0456899198887395,0.05262874421968,68.0,btc|m15|Up,1596,2026-04-10 08:06:05.517,0.68,16.299999999999997,23.970588235294112,,2026-04-10 08:14:59.949,,settlement,True,True,7.670588235294115,47.05882352941176
btc,btc:m15:1775808000,"Bitcoin Up or Down - April 10, 4:00AM-4:15AM ET",m15,DOWN,2026-04-10T08:03:54.652000+00:00,0.0625893146302246,0.0650374885373073,57.99999999999999,btc|m15|Down,829,2026-04-10 08:03:54.652,0.58,11.2,19.310344827586206,,2026-04-10 08:14:59.949,,settlement,True,False,-11.2,-100.0
btc,btc:m15:1775808900,"Bitcoin Up or Down - April 10, 4:15AM-4:30AM ET",m15,UP,2026-04-10T08:19:55.243000+00:00,0.0483884549754771,0.0343257784501446,68.0,btc|m15|Up,919,2026-04-10 08:19:55.243,0.68,16.299999999999997,23.970588235294112,,2026-04-10 08:29:59.544,,settlement,True,True,7.670588235294115,47.05882352941176
btc,btc:m15:1775809800,"Bitcoin Up or Down - April 10, 4:30AM-4:45AM ET",m15,UP,2026-04-10T08:35:54.768000+00:00,0.0399897994605692,0.0807054172708649,72.0,btc|m15|Up,1076,2026-04-10 08:35:54.768,0.72,16.299999999999997,22.638888888888886,,2026-04-10 08:44:57.144,,settlement,True,True,6.338888888888889,38.88888888888889
btc,btc:m15:1775836800,"Bitcoin Up or Down - April 10, 12:00PM-12:15PM ET",m15,UP,2026-04-10T16:03:21.149000+00:00,0.0793397672746234,0.0546090553323555,67.0,btc|m15|Up,951,2026-04-10 16:03:21.149,0.67,16.299999999999997,24.32835820895522,,2026-04-10 16:14:59.682,,settlement,True,True,8.028358208955222,49.25373134328358
btc,btc:m15:1775837700,"Bitcoin Up or Down - April 10, 12:15PM-12:30PM ET",m15,UP,2026-04-10T16:18:32.291000+00:00,0.0507325125524515,0.02619162253251,62.0,btc|m15|Up,764,2026-04-10 16:18:32.291,0.62,16.299999999999997,26.290322580645157,,2026-04-10 16:29:59.974,,settlement,True,True,9.99032258064516,61.29032258064516
btc,btc:m15:1775837700,"Bitcoin Up or Down - April 10, 12:15PM-12:30PM ET",m15,DOWN,2026-04-10T16:21:01.102000+00:00,0.0620812985762496,0.0957287296237857,63.0,btc|m15|Down,1546,2026-04-10 16:21:01.102,0.63,11.2,17.777777777777775,,2026-04-10 16:29:59.974,,settlement,True,False,-11.2,-100.0
btc,btc:m15:1775838600,"Bitcoin Up or Down - April 10, 12:30PM-12:45PM ET",m15,DOWN,2026-04-10T16:33:38.497000+00:00,0.0914951681948637,-0.0957002630383011,69.0,btc|m15|Down,1026,2026-04-10 16:33:38.497,0.69,11.2,16.231884057971016,,2026-04-10 16:44:59.343,,settlement,False,True,5.031884057971016,44.927536231884076
btc,btc:m15:1775839500,"Bitcoin Up or Down - April 10, 12:45PM-1:00PM ET",m15,UP,2026-04-10T16:48:20.726000+00:00,0.0917360038306161,0.0320546582115311,72.0,btc|m15|Up,998,2026-04-10 16:48:20.726,0.72,16.299999999999997,22.638888888888886,,2026-04-10 16:59:59.392,,settlement,True,True,6.338888888888889,38.88888888888889
btc,btc:m15:1775840400,"Bitcoin Up or Down - April 10, 1:00PM-1:15PM ET",m15,DOWN,2026-04-10T17:03:31.372000+00:00,0.0898313562534679,-0.0196184996423493,68.0,btc|m15|Down,852,2026-04-10 17:03:31.372,0.68,11.2,16.470588235294116,,2026-04-10 17:14:58.496,,settlement,False,True,5.270588235294117,47.05882352941176
