tf,side,fill_price,ask_at_fill,ask_2s_before,ask_1s_before,ask_500ms_before,min_ask_5s,ask_drops_count,max_drop_magnitude,ask_touched_fill_price,delta_fill_vs_2s
h1,Down,0.41,0.56,0.57,0.56,0.56,0.56,3,-0.050000000000000044,False,-0.15999999999999998
h1,Down,0.41,0.56,0.56,0.56,0.56,0.56,1,-0.009999999999999898,False,-0.15000000000000008
h1,Down,0.41,0.56,0.56,0.56,0.56,0.56,1,-0.009999999999999898,False,-0.15000000000000008
h1,Down,0.43,0.58,0.58,0.58,0.58,0.56,0,0.0,False,-0.14999999999999997
h1,Down,0.43,0.58,0.58,0.58,0.58,0.58,0,0.0,False,-0.14999999999999997
h1,Down,0.43,0.58,0.58,0.58,0.58,0.58,0,0.0,False,-0.14999999999999997
h1,Down,0.47,0.61,0.61,0.61,0.61,0.59,0,0.0,False,-0.14
h1,Down,0.47,0.61,0.61,0.61,0.61,0.59,0,0.0,False,-0.14
h1,Down,0.48,0.61,0.61,0.61,0.61,0.61,0,0.0,False,-0.13
h1,Down,0.52,0.61,0.61,0.61,0.61,0.61,0,0.0,False,-0.08999999999999997
h1,Down,0.55,0.71,0.71,0.71,0.71,0.66,1,-0.020000000000000018,False,-0.15999999999999992
h1,Down,0.56,0.71,0.71,0.71,0.71,0.71,0,0.0,False,-0.1499999999999999
h1,Down,0.57,0.71,0.71,0.71,0.71,0.71,0,0.0,False,-0.14
h1,Down,0.58,0.68,0.68,0.68,0.68,0.68,2,-0.010000000000000009,False,-0.10000000000000009
h1,Down,0.59,0.66,0.66,0.66,0.66,0.66,1,-0.010000000000000009,False,-0.07000000000000006
h1,Down,0.6,0.66,0.66,0.66,0.66,0.66,0,0.0,False,-0.06000000000000005
h1,Down,0.61,0.66,0.66,0.66,0.66,0.66,0,0.0,False,-0.050000000000000044
h1,Down,0.68,0.56,0.56,0.56,0.56,0.56,0,0.0,True,0.12
h1,Down,0.68,0.56,0.56,0.56,0.56,0.56,0,0.0,True,0.12
h1,Down,0.67,0.56,0.56,0.56,0.56,0.56,0,0.0,True,0.10999999999999999
h1,Down,0.66,0.58,0.58,0.58,0.58,0.58,0,0.0,True,0.08000000000000007
h1,Down,0.66,0.54,0.57,0.57,0.54,0.54,3,-0.019999999999999907,True,0.09000000000000008
h1,Down,0.66,0.53,0.54,0.54,0.54,0.53,1,-0.010000000000000009,True,0.12
h1,Down,0.68,0.52,0.52,0.52,0.52,0.52,0,0.0,True,0.16000000000000003
h1,Down,0.68,0.52,0.52,0.52,0.52,0.52,0,0.0,True,0.16000000000000003
h1,Down,0.68,0.52,0.52,0.52,0.52,0.52,0,0.0,True,0.16000000000000003
h1,Down,0.71,0.47,0.47,0.47,0.47,0.47,0,0.0,True,0.24
h1,Down,0.63,0.47,0.47,0.47,0.47,0.47,0,0.0,True,0.16000000000000003
h1,Down,0.63,0.44,0.44,0.44,0.44,0.44,0,0.0,True,0.19
h1,Up,0.33,0.58,0.58,0.58,0.58,0.58,0,0.0,False,-0.24999999999999994
h1,Up,0.42340000000000005,0.59,0.59,0.59,0.59,0.58,0,0.0,False,-0.16659999999999991
h1,Up,0.34,0.59,0.59,0.59,0.59,0.58,0,0.0,False,-0.24999999999999994
h1,Up,0.41,0.6,0.59,0.59,0.6,0.59,0,0.0,False,-0.18
h1,Up,0.41,0.6,0.6,0.6,0.6,0.6,0,0.0,False,-0.19
h1,Up,0.44,0.6,0.6,0.6,0.6,0.59,1,-0.010000000000000009,False,-0.15999999999999998
h1,Up,0.44,0.62,0.62,0.62,0.62,0.62,0,0.0,False,-0.18
h1,Up,0.44,0.69,0.69,0.69,0.69,0.67,0,0.0,False,-0.24999999999999994
h1,Up,0.43,0.71,0.69,0.71,0.71,0.69,0,0.0,False,-0.25999999999999995
h1,Up,0.48,0.73,0.72,0.72,0.72,0.71,0,0.0,False,-0.24
h1,Down,0.49,0.12,0.12,0.12,0.12,0.12,0,0.0,True,0.37
h1,Up,0.61,0.9,0.9,0.9,0.9,0.89,1,-0.010000000000000009,False,-0.29000000000000004
h1,Up,0.6,0.9,0.9,0.9,0.9,0.9,0,0.0,False,-0.30000000000000004
h1,Up,0.6,0.9,0.9,0.9,0.9,0.9,0,0.0,False,-0.30000000000000004
h1,Down,0.37,0.11,0.12,0.12,0.11,0.11,9,-0.009999999999999995,True,0.25
h1,Down,0.37,0.09,0.09,0.09,0.09,0.09,4,-0.010000000000000009,True,0.28
h1,Up,0.6,0.91,0.91,0.91,0.91,0.9,0,0.0,False,-0.31000000000000005
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Down,0.37,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.27
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.59,0.91,0.91,0.91,0.91,0.91,0,0.0,False,-0.32000000000000006
h1,Up,0.56,0.92,0.92,0.92,0.92,0.91,0,0.0,False,-0.36
h1,Up,0.58,0.92,0.92,0.92,0.92,0.92,0,0.0,False,-0.3400000000000001
h1,Down,0.35,0.1,0.1,0.1,0.1,0.1,1,-0.009999999999999995,True,0.24999999999999997
h1,Down,0.35,0.19,0.16,0.18,0.19,0.14,0,0.0,True,0.18999999999999997
h1,Down,0.35,0.16,0.16,0.16,0.16,0.16,3,-0.010000000000000009,True,0.18999999999999997
h1,Down,0.35,0.17,0.17,0.17,0.17,0.16,0,0.0,True,0.17999999999999997
h1,Down,0.35,0.16,0.17,0.17,0.17,0.16,1,-0.010000000000000009,True,0.17999999999999997
h1,Down,0.34,0.14,0.14,0.14,0.14,0.14,0,0.0,True,0.2
h1,Down,0.33,0.14,0.14,0.14,0.14,0.14,0,0.0,True,0.19
h1,Down,0.32,0.08,0.14,0.1,0.08,0.08,5,-0.020000000000000004,True,0.18
h1,Down,0.32,0.07,0.08,0.07,0.07,0.07,2,-0.009999999999999995,True,0.24
h1,Down,0.32,0.07,0.07,0.07,0.07,0.07,0,0.0,True,0.25
h1,Down,0.32,0.07,0.07,0.07,0.07,0.07,0,0.0,True,0.25
h1,Down,0.32,0.06,0.07,0.07,0.06,0.06,1,-0.010000000000000009,True,0.25
h1,Down,0.32,0.05,0.06,0.05,0.05,0.05,2,-0.010000000000000009,True,0.26
h1,Down,0.32,0.05,0.05,0.05,0.05,0.03,0,0.0,True,0.27
h1,Down,0.32,0.04,0.04,0.04,0.04,0.04,0,0.0,True,0.28
h1,Down,0.32,0.05,0.04,0.05,0.05,0.04,0,0.0,True,0.28
h1,Down,0.32,0.05,0.05,0.05,0.05,0.05,0,0.0,True,0.27
h1,Up,0.69,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.27
h1,Up,0.69,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.27
h1,Up,0.69,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.27
h1,Down,0.32,0.05,0.05,0.05,0.05,0.05,0,0.0,True,0.27
h1,Down,0.32,0.05,0.05,0.05,0.05,0.05,0,0.0,True,0.27
h1,Down,0.32,0.05,0.05,0.05,0.05,0.05,0,0.0,True,0.27
h1,Up,0.53,0.95,0.96,0.95,0.95,0.95,1,-0.010000000000000009,False,-0.42999999999999994
h1,Up,0.53,0.95,0.96,0.95,0.95,0.95,1,-0.010000000000000009,False,-0.42999999999999994
h1,Up,0.52,0.95,0.95,0.95,0.95,0.95,0,0.0,False,-0.42999999999999994
h1,Down,0.45,0.05,0.05,0.05,0.05,0.05,0,0.0,True,0.4
h1,Up,0.52,0.95,0.95,0.95,0.95,0.95,0,0.0,False,-0.42999999999999994
h1,Down,0.45,0.05,0.05,0.05,0.05,0.05,0,0.0,True,0.4
h1,Up,0.52,0.95,0.95,0.95,0.95,0.95,0,0.0,False,-0.42999999999999994
h1,Up,0.52,0.95,0.95,0.95,0.95,0.95,0,0.0,False,-0.42999999999999994
h1,Up,0.52,0.95,0.95,0.95,0.95,0.95,0,0.0,False,-0.42999999999999994
h1,Up,0.5,0.96,0.95,0.96,0.96,0.95,0,0.0,False,-0.44999999999999996
h1,Up,0.5,0.96,0.95,0.96,0.96,0.95,0,0.0,False,-0.44999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.95,0,0.0,False,-0.45999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.95,0,0.0,False,-0.45999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.95,0,0.0,False,-0.45999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.95,0,0.0,False,-0.45999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.95,0,0.0,False,-0.45999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.95,0,0.0,False,-0.45999999999999996
h1,Up,0.5,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.45999999999999996
h1,Up,0.49,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.47
h1,Up,0.49,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.47
h1,Up,0.51,0.96,0.96,0.96,0.96,0.96,0,0.0,False,-0.44999999999999996
h1,Up,0.51,0.98,0.97,0.98,0.98,0.96,0,0.0,False,-0.45999999999999996
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.47,0.97,0.97,0.97,0.97,0.97,1,-0.010000000000000009,False,-0.5
h1,Up,0.46,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.51
h1,Up,0.46,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.51
h1,Up,0.46,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.51
h1,Up,0.46,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.51
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.45,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.52
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.43,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.54
h1,Up,0.4487,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.5213
h1,Up,0.44,0.97,0.97,0.97,0.97,0.97,0,0.0,False,-0.53
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.53,0.03,0.02,0.03,0.02,0.02,1,-0.009999999999999998,True,0.51
h1,Down,0.52,0.03,0.03,0.03,0.03,0.02,2,-0.009999999999999998,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.02,2,-0.009999999999999998,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.02,2,-0.009999999999999998,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.02,2,-0.009999999999999998,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.02,2,-0.009999999999999998,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.02,2,-0.009999999999999998,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.49
h1,Down,0.52,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.49
h1,Down,0.52,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Down,0.52,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.49
h1,Up,0.44,0.98,0.98,0.98,0.98,0.97,1,-0.010000000000000009,False,-0.54
h1,Down,0.51,0.03,0.03,0.03,0.03,0.03,0,0.0,True,0.48
h1,Up,0.43,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.55
h1,Up,0.43,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.55
h1,Up,0.43,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.55
h1,Up,0.43,0.98,0.98,0.98,0.98,0.98,0,0.0,False,-0.55
h1,Up,0.42,0.99,0.98,0.98,0.98,0.98,0,0.0,False,-0.56
h1,Up,0.42,0.99,0.98,0.98,0.98,0.98,0,0.0,False,-0.56
h1,Up,0.42,0.99,0.98,0.98,0.98,0.98,0,0.0,False,-0.56
h1,Up,0.42,0.99,0.98,0.98,0.98,0.98,0,0.0,False,-0.56
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Up,0.42,0.98,0.99,0.98,0.98,0.98,1,-0.010000000000000009,False,-0.5700000000000001
h1,Down,0.54,0.06,0.06,0.06,0.06,0.06,0,0.0,True,0.48000000000000004
